artist,top_genre,year,bpm_tempo,energy,danceability,decibel,live,length,acoustic,speechiness,popular,positive
Train,neo mellow,2010,0,1,1,1,8,0,19,0,83,positive
Eminem,detroit hip hop,2010,0,1,1,1,52,1,24,1,82,positive
Kesha,dance pop,2010,1,1,1,1,29,0,10,1,80,positive
Lady Gaga,dance pop,2010,0,1,1,1,8,1,0,0,79,positive
Bruno Mars,pop,2010,0,1,0,1,9,1,2,0,78,negative
Justin Bieber,canadian pop,2010,0,1,1,1,11,0,4,1,77,positive
Taio Cruz,dance pop,2010,1,1,1,1,4,0,0,1,77,positive
OneRepublic,dance pop,2010,1,1,0,0,12,1,7,0,77,negative
Alicia Keys,hip pop,2010,0,0,0,0,12,0,74,0,76,negative
Rihanna,barbadian pop,2010,1,0,1,1,7,1,13,0,73,positive
Flo Rida,dance pop,2010,1,1,0,1,6,1,3,0,73,negative
Bruno Mars,pop,2010,1,1,0,1,10,1,33,0,73,negative
Mike Posner,dance pop,2010,1,1,1,1,70,0,18,1,73,positive
Lady Gaga,dance pop,2010,1,1,1,0,11,1,1,0,73,positive
Far East Movement,dance pop,2010,1,1,0,0,12,0,1,1,72,positive
Usher,atl hip hop,2010,1,1,1,0,36,1,20,0,72,negative
Sean Kingston,dance pop,2010,1,0,1,1,11,0,5,0,71,positive
The Black Eyed Peas,dance pop,2010,1,1,1,0,60,1,7,1,70,negative
Lady Gaga,dance pop,2010,0,1,0,0,36,1,0,1,69,negative
Kesha,dance pop,2010,1,0,1,1,9,0,1,1,69,positive
The Black Eyed Peas,dance pop,2010,1,0,1,0,32,1,0,1,68,negative
Adam Lambert,australian pop,2010,1,0,0,1,6,1,1,1,66,negative
Kesha,dance pop,2010,1,0,1,1,9,0,0,0,66,positive
Maroon 5,pop,2010,0,1,1,1,22,0,0,0,65,positive
OneRepublic,dance pop,2010,1,1,0,1,28,1,26,1,65,positive
Neon Trees,indie pop,2010,1,1,0,0,38,0,0,0,65,positive
Selena Gomez & The Scene,dance pop,2010,1,1,0,1,5,0,2,1,64,positive
