id,artist,top_genre,year,bpm_tempo,energy,danceability,decibel,live,length,acoustic,speechiness,popular,positive
0,Train,neo mellow,2010,0,1,1,1,8,0,19,0,83,positive
1,Eminem,detroit hip hop,2010,0,1,1,1,52,1,24,1,82,positive
2,Kesha,dance pop,2010,1,1,1,1,29,0,10,1,80,positive
3,Lady Gaga,dance pop,2010,0,1,1,1,8,1,0,0,79,positive
4,Bruno Mars,pop,2010,0,1,0,1,9,1,2,0,78,negative
5,Justin Bieber,canadian pop,2010,0,1,1,1,11,0,4,1,77,positive
6,Taio Cruz,dance pop,2010,1,1,1,1,4,0,0,1,77,positive
7,OneRepublic,dance pop,2010,1,1,0,0,12,1,7,0,77,negative
8,Alicia Keys,hip pop,2010,0,0,0,0,12,0,74,0,76,negative
9,Rihanna,barbadian pop,2010,1,0,1,1,7,1,13,0,73,positive
10,Flo Rida,dance pop,2010,1,1,0,1,6,1,3,0,73,negative
11,Bruno Mars,pop,2010,1,1,0,1,10,1,33,0,73,negative
12,Mike Posner,dance pop,2010,1,1,1,1,70,0,18,1,73,positive
13,Lady Gaga,dance pop,2010,1,1,1,0,11,1,1,0,73,positive
14,Far East Movement,dance pop,2010,1,1,0,0,12,0,1,1,72,positive
15,Usher,atl hip hop,2010,1,1,1,0,36,1,20,0,72,negative
16,Sean Kingston,dance pop,2010,1,0,1,1,11,0,5,0,71,positive
17,The Black Eyed Peas,dance pop,2010,1,1,1,0,60,1,7,1,70,negative
18,Lady Gaga,dance pop,2010,0,1,0,0,36,1,0,1,69,negative
19,Kesha,dance pop,2010,1,0,1,1,9,0,1,1,69,positive
20,The Black Eyed Peas,dance pop,2010,1,0,1,0,32,1,0,1,68,negative
21,Adam Lambert,australian pop,2010,1,0,0,1,6,1,1,1,66,negative
22,Kesha,dance pop,2010,1,0,1,1,9,0,0,0,66,positive
23,Maroon 5,pop,2010,0,1,1,1,22,0,0,0,65,positive
24,OneRepublic,dance pop,2010,1,1,0,1,28,1,26,1,65,positive
25,Neon Trees,indie pop,2010,1,1,0,0,38,0,0,0,65,positive
26,Selena Gomez & The Scene,dance pop,2010,1,1,0,1,5,0,2,1,64,positive
27,Enrique Iglesias,dance pop,2010,1,1,0,1,6,1,2,1,63,positive
28,Katy Perry,dance pop,2010,1,1,1,1,13,1,2,0,63,positive
29,Katy Perry,dance pop,2010,1,1,1,1,18,1,0,1,62,negative
30,Britney Spears,dance pop,2010,1,0,1,1,14,0,5,1,62,positive
31,3OH!3,dance pop,2010,1,1,1,1,36,0,1,1,62,positive
32,Kesha,dance pop,2010,1,1,1,1,42,0,8,1,62,positive
33,The Black Eyed Peas,dance pop,2010,0,0,0,0,31,1,18,1,62,negative
34,Alicia Keys,hip pop,2010,0,1,0,1,13,1,16,1,62,positive
35,David Guetta,dance pop,2010,1,0,1,1,13,0,8,1,61,positive
36,Christina Aguilera,dance pop,2010,1,0,0,1,13,1,83,0,61,negative
37,Adam Lambert,australian pop,2010,1,1,0,1,37,1,1,1,59,positive
38,The Black Eyed Peas,dance pop,2010,1,1,1,0,43,1,2,1,59,positive
39,Florence + The Machine,art pop,2010,1,1,0,1,12,1,3,1,58,negative
40,Christina Aguilera,dance pop,2010,1,1,0,1,12,0,47,1,58,positive
41,Alicia Keys,hip pop,2010,0,0,1,0,10,1,4,0,57,negative
42,Rihanna,barbadian pop,2010,1,1,0,1,65,1,1,1,57,negative
43,Shakira,colombian pop,2010,0,1,1,1,9,0,19,1,56,positive
44,Christina Aguilera,dance pop,2010,0,0,0,0,14,1,85,0,56,negative
45,Christina Aguilera,dance pop,2010,1,1,1,1,56,0,0,0,55,positive
46,Tinie Tempah,dance pop,2010,0,1,0,1,18,0,6,1,52,positive
47,Usher,atl hip hop,2010,1,1,1,1,8,1,3,1,52,positive
48,T.I.,atl hip hop,2010,0,1,0,1,26,1,7,1,49,positive
49,Taio Cruz,dance pop,2010,1,1,1,1,8,0,0,0,33,positive
50,Martin Solveig,big room,2010,1,1,1,1,10,0,1,0,0,negative
51,Christina Perri,dance pop,2011,1,0,0,0,11,1,31,0,81,negative
52,Adele,british soul,2011,1,0,0,0,10,1,89,0,80,negative
53,Pitbull,dance pop,2011,1,1,1,1,30,1,19,1,79,positive
54,Bruno Mars,pop,2011,0,1,0,1,9,1,2,0,78,negative
55,Adele,british soul,2011,0,1,1,1,5,1,13,0,76,positive
56,Beyoncé,dance pop,2011,1,1,1,1,37,1,0,1,76,positive
57,Maroon 5,pop,2011,1,1,1,1,32,0,1,1,76,positive
58,Beyoncé,dance pop,2011,0,1,0,1,60,1,8,1,76,positive
59,Bruno Mars,pop,2011,0,0,1,0,12,1,15,1,75,negative
60,Hot Chelle Rae,dance pop,2011,0,1,1,1,16,0,8,1,75,positive
61,Avril Lavigne,canadian pop,2011,1,1,0,1,14,1,0,1,74,positive
62,Lady Gaga,dance pop,2011,1,1,0,1,33,1,0,1,73,negative
63,Kanye West,chicago rap,2011,1,0,0,0,67,1,0,1,73,negative
64,Bruno Mars,pop,2011,1,1,0,1,10,1,33,0,73,negative
65,Beyoncé,dance pop,2011,0,0,0,1,9,1,14,0,73,negative
66,LMFAO,dance pop,2011,1,1,1,1,27,1,2,1,72,negative
67,Kesha,dance pop,2011,1,1,1,1,12,0,1,0,72,positive
68,Jessie J,australian pop,2011,1,1,0,1,27,1,3,1,72,positive
69,OneRepublic,dance pop,2011,0,0,0,0,13,1,8,1,72,positive
70,The Black Eyed Peas,dance pop,2011,0,0,1,0,11,0,19,1,71,negative
71,Jennifer Lopez,dance pop,2011,1,1,1,1,7,1,11,1,69,positive
72,Rihanna,barbadian pop,2011,0,1,1,1,8,1,23,1,69,positive
73,Chris Brown,dance pop,2011,1,1,1,1,9,1,0,0,69,positive
74,David Guetta,dance pop,2011,1,0,0,1,16,0,23,0,68,negative
75,LMFAO,dance pop,2011,1,1,1,1,19,0,10,1,67,positive
76,Lady Gaga,dance pop,2011,1,1,0,0,11,1,0,0,67,negative
77,Katy Perry,dance pop,2011,1,1,0,1,37,1,2,1,66,positive
78,Britney Spears,dance pop,2011,1,0,1,0,20,1,2,1,65,negative
79,Britney Spears,dance pop,2011,1,0,1,0,33,0,0,0,64,positive
80,Kesha,dance pop,2011,1,0,1,1,7,0,0,0,64,positive
81,Lady Gaga,dance pop,2011,1,0,0,1,9,1,9,1,64,positive
82,Lady Gaga,dance pop,2011,1,1,1,1,27,1,0,1,63,positive
83,Enrique Iglesias,dance pop,2011,1,1,0,1,12,1,3,1,63,negative
84,Mike Posner,dance pop,2011,1,1,1,1,13,0,0,0,63,positive
85,Rihanna,barbadian pop,2011,1,1,1,1,11,0,3,0,61,positive
86,Lady Gaga,dance pop,2011,1,1,0,1,46,1,0,1,61,negative
87,Beyoncé,dance pop,2011,0,0,0,0,7,1,38,0,60,negative
88,Britney Spears,dance pop,2011,1,0,0,1,24,1,1,0,59,negative
89,Jennifer Lopez,dance pop,2011,0,1,0,1,8,0,2,1,59,positive
90,Jennifer Lopez,dance pop,2011,1,1,1,1,37,1,13,1,58,positive
91,Rihanna,barbadian pop,2011,0,1,0,1,29,1,2,0,58,positive
92,Rihanna,barbadian pop,2011,1,1,1,1,5,1,5,1,54,positive
93,Tinie Tempah,dance pop,2011,0,1,0,1,18,0,6,1,52,positive
94,Christina Perri,dance pop,2011,0,0,0,0,12,1,73,0,50,negative
95,T.I.,atl hip hop,2011,0,1,0,1,26,1,7,1,49,positive
96,Sleeping At Last,acoustic pop,2011,1,0,0,0,11,1,91,0,46,negative
97,Nicki Minaj,dance pop,2011,1,1,1,0,40,0,6,1,38,positive
98,P!nk,dance pop,2011,1,0,1,0,12,0,0,1,38,positive
99,Jennifer Lopez,dance pop,2011,1,1,1,1,32,0,2,1,31,positive
100,Nicki Minaj,dance pop,2011,1,1,0,1,22,1,39,1,28,negative
101,Katy Perry,dance pop,2011,1,1,0,1,67,1,0,0,27,positive
102,Katy Perry,dance pop,2011,1,1,0,1,11,1,14,1,25,positive
103,Nicki Minaj,dance pop,2011,0,0,1,1,19,1,56,1,7,positive
104,David Guetta,dance pop,2012,1,1,0,1,13,1,7,1,80,negative
105,Bruno Mars,pop,2012,1,0,1,1,31,1,5,0,79,positive
106,Coldplay,permanent wave,2012,1,0,0,0,8,1,5,0,79,negative
107,Maroon 5,pop,2012,0,1,1,1,29,1,2,0,79,positive
108,One Direction,boy band,2012,1,1,1,1,6,0,1,1,78,positive
109,Taylor Swift,pop,2012,0,0,0,0,3,0,0,0,77,positive
110,Carly Rae Jepsen,canadian pop,2012,1,0,1,0,11,0,1,0,76,positive
111,Selena Gomez & The Scene,dance pop,2012,0,0,1,1,7,0,8,1,76,positive
112,Adele,british soul,2012,0,0,0,1,13,1,0,0,76,negative
113,Taylor Swift,pop,2012,0,0,0,0,12,0,1,1,75,positive
114,Kelly Clarkson,dance pop,2012,0,1,0,1,11,1,5,1,74,positive
115,P!nk,dance pop,2012,0,0,1,0,9,1,0,0,74,positive
116,Nicki Minaj,dance pop,2012,1,0,1,1,25,0,14,1,73,positive
117,Maroon 5,pop,2012,0,1,1,1,8,0,6,0,73,positive
118,Owl City,pop,2012,1,1,0,1,37,0,2,1,73,positive
119,The Wanted,boy band,2012,1,1,1,1,11,0,3,1,72,negative
120,Justin Bieber,canadian pop,2012,1,1,0,1,7,1,0,1,72,positive
121,Pitbull,dance pop,2012,1,1,1,1,34,1,1,1,72,positive
122,fun.,baroque pop,2012,0,1,1,0,9,1,2,1,72,negative
123,Justin Bieber,canadian pop,2012,0,0,1,0,13,0,4,1,71,negative
124,Katy Perry,dance pop,2012,1,1,1,1,7,0,0,0,71,positive
125,Jessie J,australian pop,2012,1,0,1,1,4,1,1,0,69,positive
